image_id,split,contrast,area,label
000115 (5).png,validation,0.9083333333333334,52108.0,cancer
000110 (6).png,validation,1.0304227941176471,48121.5,cancer
000114 (4).png,validation,0.5651194852941176,53463.0,cancer
000116 (2).png,validation,0.5995710784313725,50285.5,cancer
000119.png,validation,0.8936580882352942,50597.0,cancer
000117 (4).png,validation,0.5197763480392157,48707.0,cancer
000115 (2).png,validation,0.8586090686274509,51790.5,cancer
000117 (6).png,validation,0.8388480392156862,48224.0,cancer
000111.png,validation,1.0427542892156862,51090.0,cancer
000112.png,validation,0.8534926470588234,44048.0,cancer
000108 (3).png,validation,0.7581341911764705,49346.0,cancer
000118 (5).png,validation,0.5626838235294118,53893.0,cancer
000114 (6).png,validation,0.9685202205882353,51814.0,cancer
000118 (4).png,validation,0.2774816176470588,53685.0,cancer
000119 (5).png,validation,0.6904258578431373,53297.0,cancer
000108 (7).png,validation,0.8637561274509805,54411.5,cancer
000115 (9).png,validation,0.7421109068627452,50570.0,cancer
000115 (5).png,validation,0.656295955882353,52476.0,cancer
000116 (3).png,validation,1.0596660539215688,50792.5,cancer
000110 (7).png,validation,0.4141697303921568,43735.0,cancer
000116 (5).png,validation,0.7601868872549019,50656.5,cancer
000116 (9).png,validation,0.4462009803921569,53439.5,cancer
000116 (8).png,validation,0.7858915441176471,50325.0,cancer
000115 (2).png,validation,0.4924172794117647,48235.5,cancer
000114 (10).png,validation,0.9435202205882355,56030.0,cancer
000117 (6).png,validation,0.35825674019607845,49688.0,cancer
000113.png,validation,0.8630361519607844,53883.0,cancer
000112 (9).png,validation,0.7577052696078432,51006.5,cancer
000117.png,validation,0.9123774509803921,45812.0,cancer
000109 (3).png,validation,0.9189031862745098,47375.0,cancer
000115.png,validation,0.7198988970588236,55476.5,cancer
000111 (2).png,validation,0.7371783088235295,51258.5,cancer
000114.png,validation,0.9167738970588237,54035.0,cancer
000109 (4).png,validation,0.7465839460784316,45118.0,cancer
000109 (8).png,validation,0.8823835784313726,52292.5,cancer
000112 (2).png,validation,0.7997855392156863,53441.0,cancer
000108 (8).png,validation,0.8727022058823528,55838.5,cancer
000113 (3).png,validation,0.8271139705882352,50190.5,cancer
003828_02_01_174.png,validation,0.677405024509804,37556.5,normal
4 - Copy (2).png,validation,2.304656862745098,50308.5,normal
004007_01_01_519.png,validation,0.7609068627450981,15233.0,normal
6 - Copy (3).png,validation,2.205759803921568,31514.0,normal
7 - Copy (2).png,validation,2.352389705882353,55233.0,normal
7 - Copy (3).png,validation,2.423529411764706,38607.0,normal
8 - Copy (3).png,validation,2.986106004901961,58346.5,normal
4 (2).png,validation,2.2559742647058822,51149.5,normal
004162_01_01_150.png,validation,0.7518995098039216,34400.5,normal
6 - Copy (2) - Copy.png,validation,2.7607536764705887,26740.5,normal
5.png,validation,1.6761029411764705,39238.0,normal
7.png,validation,2.423529411764706,38607.0,normal
6 - Copy.png,validation,2.7607536764705887,26740.5,normal
000115 (3).png,validation,0.6970128676470588,54725.0,cancer
000131.png,validation,0.741528799019608,50834.0,cancer
000130.png,validation,0.7660998774509803,46591.0,cancer
000126.png,validation,0.913235294117647,56636.0,cancer
000122.png,validation,1.030361519607843,50725.5,cancer
000120.png,validation,1.1771905637254902,50901.0,cancer
000108.png,validation,0.6145526960784314,53751.0,cancer
000109.png,validation,0.5174938725490196,51762.5,cancer
000110.png,validation,0.5533854166666667,52899.5,cancer
000110 (2).png,validation,1.133425245098039,46052.0,cancer
000111.png,validation,0.7162224264705881,47330.0,cancer
000113.png,validation,0.7716758578431373,53760.5,cancer
000112.png,validation,0.6356158088235294,53431.5,cancer
000108 (2).png,validation,0.7315563725490197,55848.5,cancer
000118 (2).png,validation,0.7705882352941179,47033.5,cancer
000116.png,validation,1.0551470588235297,50305.5,cancer
000115.png,validation,0.9721660539215686,48351.5,cancer
000111 (2).png,validation,0.9102022058823529,52408.0,cancer
000128.png,validation,0.7302542892156864,47930.0,cancer
000114.png,validation,1.0985753676470589,50376.5,cancer
000113 (2).png,validation,1.1318627450980394,57044.0,cancer
000132 (4).png,test,0.6437193627450981,38117.0,cancer
000136 (6).png,test,0.22610294117647056,35662.0,cancer
000120 (3).png,test,0.24555759803921573,37027.0,cancer
